uniprot,biogrid
A0AV02,124140
A0AV96,119998
A0AVF1,123052
A0AVI4,124932
A0AVK6,122847
A0AVT1,120529
A0FGR8,121556
A0FGR9,123766
A0JLT2,128553
A0JNW5,116706
A0JP26,130821
A0MZ66,121723
A0PG75,133006
A0PJE2,122867
A0PJK1,125922
A0PJW6,122517
A0PJX0,126223
A0PJX2,126667
A0PJX4,127452
A0PJY2,133180
A0PJZ3,608376
A0PK00,126849
A1A4G5,131532
A1A4S6,122784
A1A4V9,124769
A1A4Y4,131358
A1A519,130989
A1A580,130646
A1A5B4,130747
A1A5C7,121960
A1A5D9,126987
A1E959,120297
A1IGU5,133100
A1KXE4,126221
A1KZ92,126492
A1L020,124933
A1L0T0,116190
A1L157,137636
A1L162,130024
A1L167,126384
A1L170,134762
A1L188,129780
A1L190,569383
A1L390,117496
A1L3X0,123056
A1L429,609829
A1L443,120131
A1L453,130896
A1L4H1,129821
A1L4K1,125831
A1L4L8,127518
A1X283,130149
A1XBS5,126476
A1YPR0,128390
A1Z1Q3,126679
A2A288,131004
A2A2V5,134522
A2A2Y4,129190
A2A368,126578
A2A3K4,126515
A2AJT9,129173
A2IDD5,125849
A2PYH4,127886
A2RRD8,127834
A2RRH5,128986
A2RRL7,127567
A2RRP1,119627
A2RTX5,125822
A2RU14,128583
A2RU30,115176
A2RU48,136283
A2RU49,125829
A2RU67,121660
A2RUB1,129749
A2RUB6,130082
A2RUC4,126193
A2RUG3,114538
A2RUH7,131240
A2RUQ5,134651
A2RUR9,115069
A2RUS2,116562
A2RUT3,137028
A2RUU4,131012
A2VCK2,127189
A2VDF0,129427
A2VDJ0,116844
A2VEC9,116762
A3KMH1,116710
A3KN83,120502
A4D0S4,116479
A4D0V7,123041
A4D161,131030
A4D1B5,119901
A4D1E1,128555
A4D1E9,124573
A4D1P6,118837
A4D1S0,131397
A4D1S5,135075
A4D1T9,126449
A4D1U4,121438
A4D2B0,129099
A4D2G3,134111
A4D2P6,134314
A4FU01,116109
A4FU49,122844
A4FU69,131921
A4GXA9,128252
A4QPB2,124819
A4UGR9,126192
A5A3E0,608805
A5D6W6,127777
A5D8T8,131512
A5D8V6,120371
A5D8V7,125463
A5D8W1,122937
A5PKW4,111641
A5PL33,124155
A5PLK6,131681
A5PLL7,"132320, 132321"
A5PLN7,117378
A5PLN9,123063
A5X5Y0,130056
A5YKK6,116660
A5YM69,138643
A5YM72,121624
A6BM72,124098
A6H8Y1,120924
A6H8Z2,134170
A6NC42,131006
A6NC98,129505
A6NCE7,568619
A6NCF5,125816
A6NCK2,575596
A6NCL7,574599
A6NCQ9,569148
A6NCS6,129217
A6NCW0,570781
A6ND36,569917
A6ND48,135302
A6ND91,299841
A6NDB9,131220
A6NDG6,129694
A6NDU8,130165
A6NDV4,119714
A6NE01,125703
A6NED2,124832
A6NEK1,570456
A6NEL2,131341
A6NFD8,134034
A6NFI3,133162
A6NFN3,127004
A6NFN9,133009
A6NFQ2,130260
A6NFR6,130177
A6NFY4,756056
A6NFY7,569311
A6NGB9,569353
A6NGC4,608350
A6NGE4,126567
A6NGG8,132908
A6NGR9,567998
A6NH52,612864
A6NHC0,132835
A6NHG4,755774
A6NHJ4,131322
A6NHL2,122949
A6NHQ4,936860
A6NHR9,116929
A6NHT5,131098
A6NHX0,609839
A6NI28,126819
A6NI56,570763
