,Atom,isMemberOf,interacts_with
0,Uniprot:Q92520,['R-HSA-114608'],[]
1,Uniprot:P07602,['R-HSA-114608'],[]
2,Uniprot:P07996,['R-HSA-114608'],[]
3,Uniprot:P02671,['R-HSA-114608'],[]
4,Uniprot:Q15833,['R-HSA-114608'],[]
5,ChEBI:18367,['R-HSA-114608'],[]
6,Uniprot:P02776,['R-HSA-114608'],[]
7,Uniprot:P07737,['R-HSA-114608'],[]
8,SPARC,"['GO:0030324' 'GO:0043434' 'GO:0043473' 'GO:0050807' 'GO:0045471'
 'GO:0034097' 'GO:0033591' 'GO:0001937' 'GO:0030198' 'GO:0007507'
 'GO:0071363' 'GO:0051592' 'GO:0022604' 'GO:0016525' 'GO:0002576'
 'GO:0010595' 'GO:0006898' 'GO:0001503' 'GO:0048839' 'GO:0060348'
 'GO:0051591' 'GO:0051384' 'GO:0032496' 'GO:0042060' 'GO:0046686'
 'GO:0009629' 'GO:0010288' 'GO:0005886' 'GO:0009986' 'GO:0005604'
 'GO:0031093' 'GO:0071682' 'GO:0005739' 'GO:0031091' 'GO:0005615'
 'GO:0005576' 'GO:0098978' 'GO:0005737' 'GO:0016363' 'GO:0031092'
 'R-HSA-114608' 'R-HSA-3000178' 'R-HSA-3000497']",['XRCC6' 'ZNF579' 'VEGFA' 'PDGFB']
9,Uniprot:P49747,['R-HSA-3000178'],[]
10,Uniprot:O00391,['R-HSA-114608'],[]
11,ChEBI:52255,['R-HSA-3000178'],[]
12,Uniprot:O15230,['R-HSA-3000178'],[]
13,Uniprot:Q01955,['R-HSA-3000178'],[]
14,Uniprot:Q9NXH8,['R-HSA-114608'],[]
15,Uniprot:Q96GW7,['R-HSA-3000178'],[]
16,Uniprot:P35625,['R-HSA-114608'],[]
17,Uniprot:P01023,['R-HSA-114608'],[]
18,Uniprot:Q16787,['R-HSA-3000178'],[]
19,Uniprot:Q9Y490,['R-HSA-114608'],[]
20,Uniprot:P02461,['R-HSA-3000178'],[]
21,Uniprot:P07942,['R-HSA-3000178'],[]
22,Uniprot:O75096,['R-HSA-3000178'],[]
23,Uniprot:O43707,['R-HSA-114608'],[]
24,Uniprot:Q8WZ42,['R-HSA-114608'],[]
25,Uniprot:P24821,['R-HSA-3000178'],[]
26,Uniprot:P02768,['R-HSA-114608'],[]
27,ChEBI:29888,['R-HSA-114608'],[]
28,Uniprot:P62937,['R-HSA-114608'],[]
29,Uniprot:Q13201,['R-HSA-114608'],[]
30,Uniprot:P02775,['R-HSA-114608'],[]
31,Uniprot:P02749,['R-HSA-114608'],[]
32,Uniprot:P55145,['R-HSA-114608'],[]
33,Uniprot:P98160,['R-HSA-3000178'],[]
34,Uniprot:Q8NBX0,['R-HSA-114608'],[]
35,Uniprot:P01344,['R-HSA-114608'],[]
36,Uniprot:Q16610,['R-HSA-114608'],[]
37,Uniprot:P05106,['R-HSA-114608' 'R-HSA-3000178'],[]
38,ChEBI:16113,['R-HSA-3000497'],[]
39,Uniprot:P04114,['R-HSA-3000497'],[]
40,Uniprot:P17301,['R-HSA-3000178'],[]
41,Uniprot:Q7L3B6,['R-HSA-114608'],[]
42,Uniprot:Q6ZUX7,['R-HSA-114608'],[]
43,Uniprot:P12814,['R-HSA-114608'],[]
44,Uniprot:P29622,['R-HSA-114608'],[]
45,Uniprot:P05067,['R-HSA-114608' 'R-HSA-3000178'],[]
46,Uniprot:Q9NTK5,['R-HSA-114608'],[]
47,Uniprot:P12110,['R-HSA-3000178'],[]
48,Uniprot:P06756,['R-HSA-3000178'],[]
49,Uniprot:P02452,['R-HSA-3000178'],[]
50,Uniprot:P00488,['R-HSA-114608'],[]
51,ChEBI:60125,['R-HSA-3000497'],[]
52,Uniprot:Q8NBF2,['R-HSA-114608'],[]
53,ChEBI:17855,['R-HSA-3000497'],[]
54,Uniprot:O00194,['R-HSA-114608'],[]
55,Uniprot:Q14055,['R-HSA-3000178'],[]
56,Uniprot:P20908,['R-HSA-3000178'],[]
